id,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
393,2498,宏達電,1.18,107.0,,0.7,108/3
394,2499,東貝,0.0,107.0,,0.73,108/3
395,2501,國建,10.94,107.0,16.13,0.97,108/3
396,2504,國產,2.26,107.0,22.55,0.77,108/3
397,2505,國揚,3.23,107.0,103.33,1.33,108/3
398,2506,太設,1.62,107.0,16.5,0.52,108/3
399,2509,全坤建,7.05,107.0,2.88,0.92,108/3
400,2511,太子,6.44,107.0,12.32,0.69,108/3
401,2514,龍邦,1.77,107.0,22.82,0.73,108/3
402,2515,中工,3.09,107.0,49.77,0.5,108/3
403,2516,新建,0.0,107.0,25.3,0.47,108/3
404,2520,冠德,4.31,107.0,7.51,0.97,108/3
405,2524,京城,0.0,107.0,8.69,0.82,108/3
406,2527,宏璟,6.2,107.0,5.29,0.68,108/3
407,2528,皇普,0.0,107.0,,1.81,108/4
408,2530,華建,1.86,107.0,,1.39,108/3
409,2534,宏盛,0.0,107.0,10.03,0.88,108/3
410,2535,達欣工,7.68,107.0,10.66,0.9,108/3
411,2536,宏普,4.42,107.0,13.25,0.64,108/3
412,2537,聯上發,0.0,107.0,,0.59,108/3
413,2538,基泰,6.0,107.0,90.91,0.62,108/3
414,2539,櫻花建,4.67,107.0,16.92,2.24,108/3
415,2540,愛山林,0.0,107.0,44.29,0.75,108/3
416,2542,興富發,8.37,107.0,11.3,1.53,108/3
417,2543,皇昌,0.0,107.0,,0.83,108/3
418,2545,皇翔,5.45,107.0,26.19,1.09,108/3
419,2546,根基,8.22,107.0,8.55,1.46,108/3
420,2547,日勝生,10.64,107.0,134.29,0.73,108/3
421,2548,華固,5.66,107.0,7.29,1.47,108/3
422,2597,潤弘,8.19,107.0,13.47,2.24,108/3
423,2601,益航,1.18,107.0,4.38,0.58,108/3
424,2603,長榮,0.0,107.0,48.26,0.75,108/3
425,2605,新興,4.05,107.0,,0.46,108/3
426,2606,裕民,6.38,107.0,20.0,0.87,108/3
427,2607,榮運,2.67,107.0,17.01,0.61,108/3
428,2608,嘉里大榮,4.15,107.0,12.92,1.92,108/3
429,2609,陽明,0.0,107.0,,1.0,108/3
430,2610,華航,2.74,107.0,255.33,0.73,108/3
431,2611,志信,6.12,107.0,13.67,0.45,108/3
432,2612,中航,6.72,107.0,10.87,0.46,108/3
433,2613,中櫃,2.3,107.0,46.73,0.55,108/4
434,2614,東森,8.7,107.0,,1.06,108/3
435,2615,萬海,3.89,107.0,13.08,0.97,108/3
436,2616,山隆,5.57,107.0,14.14,0.99,108/3
437,2617,台航,8.7,107.0,10.17,0.6,108/3
438,2618,長榮航,7.08,107.0,14.49,0.81,108/3
439,2630,亞航,6.37,107.0,42.43,1.18,108/4
440,2633,台灣高鐵,3.6,107.0,21.9,2.46,108/4
441,2634,漢翔,4.65,107.0,13.98,1.89,108/3
442,2636,台驊投控,10.26,107.0,9.98,1.03,108/4
443,2637,慧洋-KY,5.83,107.0,8.01,0.6,108/4
444,2642,宅配通,2.15,107.0,16.51,1.54,108/4
445,2701,萬企,3.25,107.0,13.23,0.72,108/3
446,2702,華園,7.27,107.0,20.22,1.12,108/3
447,2704,國賓,1.67,107.0,24.49,0.84,108/3
448,2705,六福,0.0,107.0,,1.24,108/3
449,2706,第一店,3.21,107.0,12.28,0.75,108/3
450,2707,晶華,7.76,107.0,13.17,5.95,108/3
451,2712,遠雄來,0.0,107.0,,3.43,108/3
452,2722,夏都,0.88,107.0,43.11,1.5,108/3
453,2723,美食-KY,5.94,107.0,14.27,1.49,108/3
454,2727,王品,6.64,107.0,13.97,1.47,108/4
455,2731,雄獅,5.76,107.0,30.28,2.29,108/3
456,2739,寒舍,4.46,107.0,22.86,1.43,108/3
457,2748,雲品,6.59,107.0,14.91,2.15,108/4
458,2801,彰銀,3.78,107.0,19.14,1.37,108/4
459,2809,京城銀,4.44,107.0,11.23,0.93,108/4
460,2812,台中銀,6.87,107.0,10.04,0.84,108/4
461,2816,旺旺保,4.77,107.0,5.59,0.75,108/3
462,2820,華票,5.36,107.0,15.86,0.83,108/4
463,2823,中壽,0.0,107.0,6.62,0.63,108/4
464,2832,台產,4.55,107.0,11.86,0.8,108/3
465,2834,臺企銀,7.48,107.0,10.81,0.81,108/3
466,2836,高雄銀,2.92,107.0,14.68,0.65,108/3
467,2838,聯邦銀,6.76,107.0,10.56,0.58,108/3
468,2841,台開,0.0,107.0,10.58,0.25,108/3
469,2845,遠東銀,6.61,107.0,9.56,0.78,108/3
470,2849,安泰銀,6.94,107.0,13.58,0.84,108/4
471,2850,新產,7.41,107.0,7.69,1.03,108/3
472,2851,中再保,4.83,107.0,9.01,0.93,108/3
473,2852,第一保,3.86,107.0,10.33,0.59,108/3
474,2855,統一證,5.6,107.0,10.33,0.65,108/3
475,2867,三商壽,0.0,107.0,8.64,0.67,108/3
476,2880,華南金,5.45,107.0,15.38,1.31,108/3
477,2881,富邦金,4.94,107.0,9.12,0.8,108/3
478,2882,國泰金,4.0,107.0,10.96,0.73,108/3
479,2883,開發金,3.5,107.0,12.41,0.67,108/3
