id,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
27,1229,聯華            ,"469,000","1,078,000","-609,000",0.0,0.0,0.0,0,0,0,0,"8,000","8,000",0,0,0,0,"-609,000"
28,1231,聯華食          ,"38,460","139,363","-100,903",0.0,0.0,0.0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"-101,903"
29,1232,大統益          ,"12,000","43,000","-31,000",0.0,0.0,0.0,0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"-33,000"
30,1233,天仁            ,"1,000","6,000","-5,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-5,000"
31,1234,黑松            ,"10,000","65,000","-55,000",0.0,0.0,0.0,0,0,0,"-3,000",0,"3,000","-3,000",0,0,0,"-58,000"
32,1235,興泰            ,0,"3,000","-3,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-3,000"
33,1236,宏亞            ,"1,000","1,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
34,1256,鮮活果汁-KY     ,"10,000","98,000","-88,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-88,000"
35,1301,台塑            ,"3,503,943","11,061,314","-7,557,371",0.0,0.0,0.0,"77,000","64,000","13,000","-178,000","66,000","94,000","-28,000","58,000","208,000","-150,000","-7,722,371"
36,1303,南亞            ,"4,541,558","7,986,752","-3,445,194",0.0,0.0,0.0,"61,000",0,"61,000","-139,000","39,000","65,000","-26,000","67,000","180,000","-113,000","-3,523,194"
37,1304,台聚            ,"131,000","738,000","-607,000",0.0,0.0,0.0,0,0,0,"-21,000","96,000","117,000","-21,000",0,0,0,"-628,000"
38,1305,華夏            ,"180,000","524,000","-344,000",0.0,0.0,0.0,0,0,0,"-35,000",0,"35,000","-35,000",0,0,0,"-379,000"
