公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
3042,晶技,去年係因市場需求下降及上班天數減少所致，本年度因客戶訂單增加，故營收較去年同期成長達57.64%,3.4,653381,57.63,428602,675645,27.88,1039206,1329026
3044,健鼎,-,-7.25,3996067,10.1,3366207,3706215,-5.49,8149877,7702282
3058,立德,-,-28.35,307843,-18.74,271450,220566,-25.81,712244,528409
3090,日電貿,-,-17.75,723542,-8.23,648522,595100,-9.14,1451357,1318642
3229,晟鈦,海外子公司之營收係以當年度平均匯率換算之,40.73,23771,21.53,27525,33453,-7.23,61688,57224
3296,勝德,-,-60.01,137241,-46.95,103446,54870,-46.86,361572,192111
3308,聯德,因武漢肺炎開工延緩致營收較去年同期減少50%以上,-69.26,21903,-64.2,18808,6732,-57.39,67206,28635
3321,同泰,-,-0.02,122703,-15.7,145523,122671,-37.14,390387,245374
3338,泰碩,-,-16.83,303406,21.99,206842,252342,0.24,554393,555748
3376,新日興,-,-35.62,1045650,38.43,486278,673168,28.15,1341220,1718818
3432,台端,係因客戶訂單減少所致,-56.89,2886,-68.23,3916,1244,-67.76,12814,4130
3501,維熹,-,-5.52,283838,3.31,259545,268157,-23.84,724840,551995
3533,嘉澤,-,-23.49,1022419,11.03,704481,782215,-15.09,2125559,1804634
3550,聯穎,-,-55.45,206598,-46.37,171612,92025,-37.8,480125,298623
3593,力銘,-,-12.65,29515,20.3,21428,25780,-24.95,73685,55295
3605,宏致,"本公司於108年7月新增子公司廣迎新工業(股)公司 ,本月合併營收金額含廣迎新工業(股)公司之營收金額",-34.66,566185,-7.33,399202,369926,-6.61,1002452,936111
3607,谷崧,"主係因新冠肺炎疫情延宕以致本公司位於江蘇及廣東子公司春節復工延遲且僅部分產線投產,產能利用率大幅減少所致",-27.98,169365,-59.7,302707,121974,-61.98,766413,291339
3645,達邁,-,0.48,118082,-10.49,132557,118651,-10.5,264530,236733
3653,健策,-,-15.71,552219,32.8,350461,465436,18.93,855663,1017655
3679,新至陞,-,-57.71,248990,-15.02,123921,105297,-8.91,388944,354287
4545,銘鈺,-,8.46,122290,21.76,108934,132645,1.86,250265,254935
4915,致伸,-,-51.62,5312893,-11.75,2912731,2570359,-5.91,8379266,7883252
4989,榮科,-,-18.82,257777,11.0,188519,209257,1.73,459085,467034
4999,鑫禾,-,-28.43,107376,-44.93,139558,76842,-33.02,275062,184218
5469,瀚宇博,無,-30.07,3014984,-21.3,2679004,2108294,-16.99,6172366,5123278
6108,競國,-,-6.16,573186,2.57,524375,537864,-9.37,1226021,1111050
