證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
2472,立隆電,2.91,108.0,12.55,1.96,109/2,2020-09-29
2474,可成,5.7,108.0,9.88,0.93,109/2,2020-09-29
2476,鉅祥,6.91,108.0,15.8,0.8,109/2,2020-09-29
2477,美隆電,7.19,108.0,13.48,1.49,109/2,2020-09-29
2478,大毅,2.71,108.0,13.7,1.75,109/2,2020-09-29
2480,敦陽科,7.05,108.0,14.54,2.6,109/2,2020-09-29
2481,強茂,2.94,108.0,17.88,1.89,109/2,2020-09-29
2482,連宇,0.0,108.0,31.52,0.84,109/2,2020-09-29
2483,百容,5.29,108.0,15.37,0.88,109/2,2020-09-29
2484,希華,4.62,108.0,24.18,1.15,109/2,2020-09-29
2485,兆赫,0.0,108.0,,0.86,109/2,2020-09-29
2486,一詮,0.0,108.0,,0.78,109/2,2020-09-29
2488,漢平,8.29,108.0,11.06,1.15,109/2,2020-09-29
2489,瑞軒,0.0,108.0,,0.69,109/2,2020-09-29
2491,吉祥全,0.0,108.0,1.59,0.71,109/2,2020-09-29
2492,華新科,3.64,108.0,13.45,2.25,109/2,2020-09-29
2493,揚博,7.25,108.0,13.8,1.75,109/2,2020-09-29
2495,普安,5.02,108.0,,0.84,109/2,2020-09-29
2496,卓越,2.52,108.0,15.66,1.34,109/2,2020-09-29
2497,怡利電,0.0,108.0,,1.44,109/2,2020-09-29
2498,宏達電,0.0,108.0,,0.73,109/2,2020-09-29
2501,國建,5.13,108.0,23.78,0.97,109/2,2020-09-29
2504,國產,1.27,108.0,18.09,1.57,109/2,2020-09-29
2505,國揚,0.6,108.0,3.82,1.35,109/2,2020-09-29
2506,太設,0.0,108.0,,0.51,109/2,2020-09-29
2509,全坤建,3.63,108.0,25.06,0.9,109/2,2020-09-29
2511,太子,4.63,108.0,37.24,0.75,109/2,2020-09-29
2514,龍邦,0.0,108.0,24.56,0.6,109/2,2020-09-29
2515,中工,2.65,108.0,29.04,0.59,109/2,2020-09-29
2516,新建,0.0,108.0,,0.52,109/2,2020-09-29
2520,冠德,3.85,108.0,10.46,1.52,109/2,2020-09-29
2524,京城,0.0,108.0,9.22,1.04,109/2,2020-09-29
2527,宏璟,9.86,108.0,6.94,0.68,109/2,2020-09-29
2528,皇普,0.0,108.0,,2.36,109/2,2020-09-29
2530,華建,0.65,108.0,,1.38,109/2,2020-09-29
2534,宏盛,2.81,108.0,10.99,0.76,109/2,2020-09-29
2535,達欣工,5.65,108.0,7.76,1.02,109/2,2020-09-29
2536,宏普,5.1,108.0,8.69,0.66,109/2,2020-09-29
2537,聯上發,0.0,108.0,,0.8,109/2,2020-09-29
2538,基泰,5.06,108.0,,0.68,109/2,2020-09-29
